CityID,OTH_fact1,OTH_fact2,OTH_fact3,OTH_fact4,OTH_fact5,FIN_fact1,FIN_fact2,FIN_fact3,FIN_fact4,FIN_fact5,Grows?
City123888,NonGrowingIU,IndicesGrows,ListingsLowered,HCEImproved,ECGrows,GDPGrowing,PCEGrowing,IEDownTrend,GPCSGrowing,DownTrendofNetExports,MostLikely
City176566,NonGrowingIU,IndicesGrows,ListingsLowered,HCEImproved,ECFalls,GDPGrowing,PCENotGrowing,IEUptrend,GPCSNotGrowing,UpTrendofNetExports,MostLikely
City198149,NonGrowingIU,IndicesFalls,ListingsRaised,HCEDeclined,ECGrows,GDPGrowing,PCEGrowing,IEDownTrend,GPCSNotGrowing,UpTrendofNetExports,MostLikely
City189824,GrowingIU,IndicesGrows,ListingsRaised,HCEDeclined,ECGrows,GDPDownTrend,PCEGrowing,IEDownTrend,GPCSGrowing,DownTrendofNetExports,MostLikely
City197679,NonGrowingIU,IndicesGrows,ListingsRaised,HCEDeclined,ECGrows,GDPGrowing,PCENotGrowing,IEUptrend,GPCSGrowing,DownTrendofNetExports,MostLikely
City191193,GrowingIU,IndicesGrows,ListingsLowered,HCEImproved,ECFalls,GDPGrowing,PCEGrowing,IEUptrend,GPCSGrowing,DownTrendofNetExports,MostLikely
City128431,GrowingIU,IndicesFalls,ListingsLowered,HCEDeclined,ECFalls,GDPDownTrend,PCENotGrowing,IEDownTrend,GPCSNotGrowing,DownTrendofNetExports,LessLikely
City161135,GrowingIU,IndicesGrows,ListingsRaised,HCEDeclined,ECGrows,GDPDownTrend,PCENotGrowing,IEUptrend,GPCSGrowing,UpTrendofNetExports,MostLikely
City204091,NonGrowingIU,IndicesFalls,ListingsRaised,HCEDeclined,ECFalls,GDPGrowing,PCENotGrowing,IEDownTrend,GPCSNotGrowing,UpTrendofNetExports,LessLikely
City206955,NonGrowingIU,IndicesFalls,ListingsRaised,HCEDeclined,ECGrows,GDPDownTrend,PCEGrowing,IEDownTrend,GPCSNotGrowing,UpTrendofNetExports,LessLikely
City141924,NonGrowingIU,IndicesGrows,ListingsLowered,HCEDeclined,ECGrows,GDPDownTrend,PCEGrowing,IEUptrend,GPCSNotGrowing,UpTrendofNetExports,MostLikely
City151164,NonGrowingIU,IndicesGrows,ListingsLowered,HCEImproved,ECFalls,GDPGrowing,PCEGrowing,IEDownTrend,GPCSNotGrowing,DownTrendofNetExports,LessLikely
City208076,NonGrowingIU,IndicesGrows,ListingsRaised,HCEImproved,ECGrows,GDPGrowing,PCEGrowing,IEDownTrend,GPCSGrowing,UpTrendofNetExports,MostLikely
City203555,NonGrowingIU,IndicesGrows,ListingsRaised,HCEImproved,ECGrows,GDPGrowing,PCEGrowing,IEUptrend,GPCSGrowing,DownTrendofNetExports,MostLikely
City122231,GrowingIU,IndicesGrows,ListingsLowered,HCEDeclined,ECFalls,GDPDownTrend,PCENotGrowing,IEDownTrend,GPCSNotGrowing,DownTrendofNetExports,LessLikely
City120896,NonGrowingIU,IndicesFalls,ListingsLowered,HCEImproved,ECGrows,GDPGrowing,PCEGrowing,IEDownTrend,GPCSNotGrowing,DownTrendofNetExports,LessLikely
City118357,GrowingIU,IndicesFalls,ListingsRaised,HCEDeclined,ECFalls,GDPDownTrend,PCEGrowing,IEDownTrend,GPCSNotGrowing,DownTrendofNetExports,LessLikely
City144310,NonGrowingIU,IndicesGrows,ListingsRaised,HCEImproved,ECGrows,GDPGrowing,PCEGrowing,IEUptrend,GPCSGrowing,DownTrendofNetExports,MostLikely
City197725,NonGrowingIU,IndicesGrows,ListingsLowered,HCEImproved,ECGrows,GDPDownTrend,PCEGrowing,IEUptrend,GPCSGrowing,DownTrendofNetExports,MostLikely
City195154,NonGrowingIU,IndicesFalls,ListingsRaised,HCEDeclined,ECGrows,GDPDownTrend,PCENotGrowing,IEUptrend,GPCSNotGrowing,UpTrendofNetExports,LessLikely
City116062,GrowingIU,IndicesGrows,ListingsRaised,HCEDeclined,ECFalls,GDPDownTrend,PCENotGrowing,IEDownTrend,GPCSNotGrowing,DownTrendofNetExports,LessLikely
City113883,NonGrowingIU,IndicesGrows,ListingsLowered,HCEDeclined,ECFalls,GDPDownTrend,PCEGrowing,IEUptrend,GPCSNotGrowing,UpTrendofNetExports,LessLikely
City192984,GrowingIU,IndicesGrows,ListingsLowered,HCEImproved,ECFalls,GDPDownTrend,PCENotGrowing,IEDownTrend,GPCSNotGrowing,UpTrendofNetExports,LessLikely
City132791,GrowingIU,IndicesGrows,ListingsRaised,HCEImproved,ECFalls,GDPGrowing,PCENotGrowing,IEUptrend,GPCSGrowing,UpTrendofNetExports,MostLikely
City118969,NonGrowingIU,IndicesFalls,ListingsRaised,HCEDeclined,ECFalls,GDPDownTrend,PCENotGrowing,IEDownTrend,GPCSNotGrowing,DownTrendofNetExports,LessLikely
City130557,GrowingIU,IndicesFalls,ListingsLowered,HCEImproved,ECGrows,GDPDownTrend,PCEGrowing,IEDownTrend,GPCSNotGrowing,UpTrendofNetExports,MostLikely
City183894,NonGrowingIU,IndicesFalls,ListingsRaised,HCEImproved,ECGrows,GDPDownTrend,PCENotGrowing,IEDownTrend,GPCSNotGrowing,UpTrendofNetExports,LessLikely
City167434,NonGrowingIU,IndicesFalls,ListingsRaised,HCEDeclined,ECGrows,GDPGrowing,PCEGrowing,IEUptrend,GPCSGrowing,UpTrendofNetExports,MostLikely
City128724,GrowingIU,IndicesFalls,ListingsRaised,HCEImproved,ECGrows,GDPDownTrend,PCEGrowing,IEDownTrend,GPCSGrowing,UpTrendofNetExports,MostLikely
City148071,GrowingIU,IndicesFalls,ListingsLowered,HCEImproved,ECFalls,GDPDownTrend,PCEGrowing,IEUptrend,GPCSNotGrowing,DownTrendofNetExports,LessLikely
City192091,GrowingIU,IndicesGrows,ListingsLowered,HCEDeclined,ECGrows,GDPGrowing,PCENotGrowing,IEDownTrend,GPCSNotGrowing,DownTrendofNetExports,LessLikely
City158356,NonGrowingIU,IndicesGrows,ListingsRaised,HCEImproved,ECGrows,GDPDownTrend,PCENotGrowing,IEUptrend,GPCSGrowing,UpTrendofNetExports,MostLikely
City189753,NonGrowingIU,IndicesGrows,ListingsLowered,HCEDeclined,ECGrows,GDPGrowing,PCEGrowing,IEUptrend,GPCSGrowing,UpTrendofNetExports,MostLikely
City118915,GrowingIU,IndicesGrows,ListingsRaised,HCEDeclined,ECFalls,GDPDownTrend,PCENotGrowing,IEDownTrend,GPCSNotGrowing,DownTrendofNetExports,LessLikely
City195572,GrowingIU,IndicesGrows,ListingsRaised,HCEDeclined,ECGrows,GDPDownTrend,PCENotGrowing,IEDownTrend,GPCSNotGrowing,DownTrendofNetExports,LessLikely
City198932,NonGrowingIU,IndicesFalls,ListingsRaised,HCEDeclined,ECGrows,GDPDownTrend,PCEGrowing,IEUptrend,GPCSNotGrowing,DownTrendofNetExports,LessLikely
City166790,NonGrowingIU,IndicesFalls,ListingsLowered,HCEImproved,ECGrows,GDPGrowing,PCENotGrowing,IEUptrend,GPCSNotGrowing,DownTrendofNetExports,LessLikely
